"","hhid","intmonth","stfips","weight","earnwke","uhours","grade92","race","ethnic","age","sex","marital","ownchild","chldpres","prcitshp","state","ind02","occ2012","class","unionmme","unioncov","lfsr94"
"107",210910061903919,"January","AL",3572.2608,323.75,35,39,2,NA,33,1,7,0,0,"Native, Born In US","63","** Professional and commercial equipment and supplies, merchant wholesalers (*4234)",9130,"Private, For Profit","No","No","Employed-At Work"
"120",431091309100666,"January","AL",3687.215,728.25,45,39,1,NA,27,1,1,0,0,"Native, Born In US","63","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","Yes","","Employed-At Work"
"241",110350027909861,"January","AL",6335.077,730.76,50,40,3,1,40,1,1,2,3,"Native, Born Abroad Of US Parent(s)","63","Management, scientific, and technical consulting services (5416)",9130,"Private, For Profit","No","No","Employed-At Work"
"311",299030002970670,"January","AK",360.7358,1777.8,84,40,1,NA,62,1,7,0,0,"Native, Born In US","94","Support activities for mining (213)",9130,"Private, For Profit","Yes","","Employed-Absent"
"403",20924077001319,"January","AK",584.4336,961.53,50,39,2,NA,26,1,1,3,4,"Native, Born In US","94","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"488",300207925936266,"January","AK",353.8476,237.5,35,40,1,NA,47,2,5,0,0,"Native, Born In US","94","Building material and supplies dealers (4441 exc. 44413)",9130,"Private, For Profit","No","No","Employed-At Work"
"544",720822097001405,"January","AK",372.6196,520,40,40,1,NA,60,1,1,0,0,"Native, Born In US","94","Postal Service (491)",9130,"Government - Federal","Yes","","Employed-At Work"
"591",952109970086007,"January","AK",443.04,532,40,39,1,NA,21,2,7,0,0,"Native, Born In US","94","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"605",9047903062443,"January","AZ",5104.9545,310,40,36,1,1,34,1,5,0,0,"Native, Born In US","86","Other consumer goods rental (53221, 53222, 53229, 5323)",9130,"Private, For Profit","No","No","Employed-At Work"
"693",480442092307759,"January","AZ",4275.9691,440,40,40,1,NA,43,1,5,0,0,"Native, Born In US","86","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"734",967014903078460,"January","AZ",3890.8291,680,35,35,1,1,55,1,1,3,14,"Foreign Born, Not a US Citizen","86","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"770",93260740944489,"January","AZ",4427.5268,440,40,40,1,NA,44,1,1,1,4,"Native, Born In US","86","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"816",503907170596964,"January","AZ",3936.4558,560,40,38,1,1,61,1,1,0,0,"Native, Born In US","86","Metal ore mining (2122)",9130,"Private, For Profit","No","No","Employed-At Work"
"1194",880951093503629,"January","AR",2064.7158,880,40,34,1,8,47,1,1,1,4,"Foreign Born, Not a US Citizen","71","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"1316",54590760949998,"January","CA",3097.4714,576.92,40,40,1,NA,61,1,7,0,0,"Native, Born In US","93","Other direct selling establishments (45439)",9130,"Private, For Profit","No","No","Employed-At Work"
"1395",91923809033688,"January","CA",3281.9521,865.38,40,40,1,NA,48,1,5,0,0,"Native, Born In US","93","Automotive equipment rental and leasing (5321)",9130,"Private, For Profit","No","No","Employed-At Work"
"1726",420969096207339,"January","CA",3472.0745,500,40,39,1,5,36,1,1,2,6,"Foreign Born, Not a US Citizen","93","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","No","No","Employed-At Work"
"1779",560096083900992,"January","CA",2891.8309,806.54,40,40,1,NA,43,1,1,2,10,"Native, Born In US","93","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"1828",634091448600818,"January","CA",2834.2886,1000,40,40,1,NA,51,1,5,0,0,"Native, Born In US","93","** Metals and minerals, except petroleum, merchant wholesalers (*4235)",9130,"Private, For Profit","Yes","","Employed-At Work"
"2007",707904500896606,"January","CA",3443.1493,500,40,39,1,NA,59,1,7,0,0,"Foreign Born, US Cit By Naturalization","93","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-Absent"
"2323",996749430289007,"January","CA",2968.0144,1000,40,39,4,NA,52,1,1,0,0,"Foreign Born, US Cit By Naturalization","93","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"2525",94987405093678,"January","CA",3314.5526,1382,65,40,1,NA,55,1,1,0,0,"Native, Born In US","93","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"3074",796629430239006,"January","CA",2981.7853,769.23,47,40,1,NA,61,1,5,0,0,"Native, Born In US","93","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"3279",999006281077700,"January","CA",3402.409,950,40,40,1,5,43,1,1,2,4,"Native, Born In US","93","** Groceries and related products, merchant wholesalers (*4244)",9130,"Private, For Profit","Yes","","Employed-At Work"
"3417",699310222750970,"January","CA",3406.909,500,40,33,1,1,51,1,1,1,3,"Foreign Born, US Cit By Naturalization","93","** Motor vehicles, parts and supplies, merchant wholesalers (*4231)",9130,"Private, For Profit","No","No","Employed-At Work"
"3647",879100701300970,"January","CO",2059.5256,1000,40,39,2,NA,37,1,3,0,0,"Foreign Born, US Cit By Naturalization","84","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"3779",407908770895068,"January","CO",1619.8034,500,40,36,1,NA,48,1,1,1,3,"Native, Born In US","84","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"4447",707903840694979,"January","CT",1241.7346,1760,50,40,1,NA,60,1,1,1,4,"Native, Born In US","CT","Postal Service (491)",9130,"Government - Federal","Yes","","Employed-At Work"
"4675",79690113040731,"January","DE",407.4061,800,40,36,1,1,50,1,1,0,0,"Native, Born Abroad Of US Parent(s)","51","Crop production (111)",9130,"Private, For Profit","No","No","Employed-At Work"
"4693",103700031897100,"January","DE",373.7917,500,40,36,1,NA,53,1,3,0,0,"Native, Born In US","51","Truck transportation (484)",9130,"Private, Nonprofit","No","No","Employed-At Work"
"4759",29960521980731,"January","DE",487.3028,947.34,40,36,1,2,27,1,7,2,3,"Native, Born in PR or US Outlying Area","51","Restaurants and other food services (722 exc. 7224)",9130,"Private, For Profit","No","No","Employed-At Work"
"4766",43201700795992,"January","DE",409.7656,750,40,39,1,NA,44,1,1,0,0,"Native, Born In US","51","Couriers and messengers (492)",9130,"Private, For Profit","No","No","Employed-At Work"
"4922",503704651897300,"January","DE",509.2307,574,40,39,2,NA,53,1,5,0,0,"Native, Born In US","51","** Construction (23)",9130,"Private, For Profit","No","No","Employed-At Work"
"4934",570405097113279,"January","DE",435.7927,680,40,42,1,NA,56,1,1,0,0,"Native, Born In US","51","Retail florists (4531)",9130,"Private, For Profit","No","No","Employed-At Work"
"4954",670704092417019,"January","DE",403.9959,500,40,39,1,NA,52,1,1,1,4,"Native, Born In US","51","Auto parts, accessories, and tire stores (4413)",9130,"Private, For Profit","No","No","Employed-At Work"
"5440",971559470227105,"January","DC",482.6402,1700,40,40,2,NA,56,1,7,0,0,"Native, Born In US","53","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"5463",72701320992592,"January","FL",3817.4033,673.07,45,39,1,2,46,1,5,0,0,"Native, Born in PR or US Outlying Area","59","Iron and steel mills and steel product manufacturing (3311, 3312)",9130,"Private, For Profit","No","No","Employed-At Work"
"5767",35092205130680,"January","FL",4200.9696,750,40,39,1,1,42,1,1,1,4,"Foreign Born, Not a US Citizen","59","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-Absent"
"5981",279450953190971,"January","FL",4212.5222,480.76,40,34,1,1,41,1,1,3,3,"Foreign Born, US Cit By Naturalization","59","Truck transportation (484)",9130,"Private, For Profit","Yes","","Employed-At Work"
"6282",936082943139070,"January","FL",3839.5884,750,40,39,1,NA,53,1,1,0,0,"Native, Born In US","59","Automobile dealers (4411)",9130,"Private, For Profit","No","No","Employed-At Work"
"6316",955022711179480,"January","FL",4089.9354,750,50,40,1,3,27,1,7,0,0,"Foreign Born, Not a US Citizen","59","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"6400",992939230579107,"January","FL",3235.9395,750,40,39,1,NA,43,1,7,0,0,"Native, Born In US","59","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"6623",197937606089398,"January","GA",3611.3908,1100,50,39,1,NA,62,1,1,0,0,"Native, Born In US","58","Waste management and remediation services (562)",9130,"Private, For Profit","No","No","Employed-At Work"
"6659",310309927080059,"January","GA",5007.0319,400,40,39,2,NA,25,1,7,0,0,"Native, Born In US","58","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"6752",833106910300141,"January","GA",4578.7065,763.1,40,40,2,NA,48,1,7,0,0,"Native, Born In US","58","Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",9130,"Government - Local","Yes","","Employed-At Work"
"6980",631140087001209,"January","GA",3511.713,750,40,39,2,NA,53,1,1,2,3,"Native, Born In US","58","Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",9130,"Government - Local","No","No","Employed-At Work"
"6993",903359170279109,"January","GA",4341.0928,788.46,55,37,2,NA,45,1,1,2,10,"Native, Born In US","58","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"7281",529580195860931,"January","HI",885.6805,400,40,41,4,NA,26,2,1,0,0,"Native, Born In US","95","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
"7348",710509962907906,"January","HI",597.545,415.38,40,43,4,NA,24,1,3,0,0,"Foreign Born, US Cit By Naturalization","95","Seafood and other miscellaneous foods, n.e.c. (3117, 3119)",9130,"Private, For Profit","No","No","Employed-At Work"
"7538",194923107035606,"January","ID",1055.2497,500,70,42,1,NA,59,1,1,0,0,"Native, Born In US","82","Truck transportation (484)",9130,"Private, For Profit","No","No","Employed-At Work"
