...1,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
15,199270459680970,January,AL,3633.3439,900,39,44,2,NA,36,2,7,3,13,"Native, Born In US",63,"Colleges and universities, including junior colleges (6112, 6113)",2200,"Private, For Profit",No,No,Employed-At Work,TRUE,23.076923076923077,3.138833117194664
24,620910090003769,January,AL,3633.3301,2307.69,40,46,1,NA,49,1,1,2,4,"Native, Born In US",63,"Administration of economic programs and space research (926, 927)",1530,Government - Federal,No,No,Employed-At Work,FALSE,57.69225,4.0551228490683195
38,911011701039430,January,AL,2587.6634,1211.53,40,44,1,NA,37,2,5,3,3,"Native, Born In US",63,Administration of human resource programs (923),2010,Government - Federal,No,No,Employed-At Work,TRUE,30.288249999999998,3.410759848526933
43,954001919079770,January,AL,2847.5801,826.92,40,44,1,NA,31,2,7,0,0,"Native, Born In US",63,Elementary and secondary schools (6111),2310,"Private, For Profit",No,No,Employed-At Work,TRUE,20.673,3.0288285010431806
45,960021970039060,January,AL,3811.7857,1442.3,50,45,1,NA,57,1,4,0,0,"Native, Born In US",63,Legal services (5411),2100,"Private, For Profit",No,No,Employed-At Work,FALSE,28.846,3.3619713351613183
46,960051978039750,January,AL,3062.3621,500,40,44,2,NA,40,2,7,0,0,"Native, Born In US",63,Administration of human resource programs (923),430,Government - State,No,No,Employed-At Work,TRUE,12.5,2.5257286443082556
50,961709030629000,January,AL,2859.1224,1211,40,44,1,NA,36,2,1,1,1,"Native, Born In US",63,"Colleges and universities, including junior colleges (6112, 6113)",2000,Government - State,No,No,Employed-At Work,TRUE,30.275,3.410322289439156
77,97953206049188,January,AL,3414.1067,1730.76,60,44,1,NA,52,2,1,0,0,"Native, Born In US",63,Home health care services (6216),3255,"Private, For Profit",No,No,Employed-Absent,TRUE,28.846,3.3619713351613183
89,130003560100156,January,AL,3296.7986,2884.61,60,45,1,NA,47,1,1,2,10,"Native, Born In US",63,Offices of physicians (6211),3060,"Private, For Profit",No,No,Employed-At Work,FALSE,48.07683333333333,3.8728004256064557
105,210312097001502,January,AL,3136.904,115.38,25,44,2,NA,29,2,7,0,0,"Native, Born In US",63,"Colleges and universities, including junior colleges (6112, 6113)",5700,"Private, For Profit",No,No,Employed-At Work,TRUE,4.6152,1.5293552039605425
125,507001320102921,January,AL,3296.7986,2000,50,44,1,NA,48,1,1,1,1,"Native, Born In US",63,Real estate (531),800,"Private, For Profit",No,No,Employed-At Work,FALSE,40,3.6888794541139363
128,510365013001006,January,AL,2594.3007,400,20,44,1,NA,36,2,1,2,8,"Native, Born In US",63,Child day care services (6244),4600,"Private, Nonprofit",No,No,Employed-At Work,TRUE,20,2.995732273553991
129,510365013001006,January,AL,4167.9035,2000,50,44,1,NA,37,1,1,2,8,"Native, Born In US",63,Air transportation (481),300,"Private, For Profit",Yes,NA,Employed-At Work,FALSE,40,3.6888794541139363
133,610584023908997,January,AL,3039.6392,969,40,45,1,NA,62,1,1,0,0,"Native, Born In US",63,"Justice, public order, and safety activities (922, pt. 92115)",3730,Government - State,No,No,Employed-At Work,FALSE,24.225,3.18738515777683
199,678011962039080,January,AL,2424.1925,1000,56,44,2,NA,57,2,7,0,0,"Native, Born In US",63,Elementary and secondary schools (6111),2310,"Private, For Profit",Yes,NA,Employed-At Work,TRUE,17.857142857142858,2.882403588246988
210,901969230679009,January,AL,2671.0752,384,20,44,1,NA,38,2,7,0,0,"Native, Born In US",63,"Colleges and universities, including junior colleges (6112, 6113)",2000,"Private, For Profit",No,No,Employed-At Work,TRUE,19.2,2.954910279033736
211,901969230679009,January,AL,3012.71,320,20,44,4,NA,34,2,7,0,0,"Foreign Born, Not a US Citizen",63,"Colleges and universities, including junior colleges (6112, 6113)",2000,"Private, For Profit",No,No,Employed-At Work,TRUE,16,2.772588722239781
269,921899830559007,January,AL,3805.8535,870,40,44,1,NA,34,1,1,3,11,"Native, Born In US",63,"Justice, public order, and safety activities (922, pt. 92115)",3850,Government - Local,No,No,Employed-At Work,FALSE,21.75,3.079613757534693
319,299420555520970,January,AK,376.1969,1107.69,40,44,1,NA,37,2,1,2,3,"Native, Born In US",94,Elementary and secondary schools (6111),2320,Government - Local,Yes,NA,Employed-At Work,TRUE,27.69225,3.3211525906531154
