"","X","id","scrape_id","source","host_id","host_name","host_since","host_response_rate","host_acceptance_rate","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bathrooms_text","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews_ltm","number_of_reviews_l30d","availability_eoy","number_of_reviews_ly","estimated_occupancy_l365d","estimated_revenue_l365d","first_review","last_review","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","wifi","hair.dryer","hot.water","dishes.and.silverware","kitchen","iron","cooking.basics","hangers","refrigerator","bed.linens","essentials","heating","shampoo","microwave","hot.water.kettle","smoke.alarm","long.term.stays.allowed","shower.gel","dedicated.workspace","dining.table","f_room_type","f_room_type2","Czech_koruna_price_day","p_host_response_rate","p_host_acceptance_rate","accommodates_n","bathrooms_n","number_of_reviews_n","minimum_nights_n","beds_n","ln_price","accommodates2","ln_accommodates","ln_accommodates2","ln_number_of_reviews","f_bathroom","f_minimum_nights"
"1",1,23163,20250316041547,"city scrape",5282,"Klara","2008-12-17","100","100","Josefov",72,82,"['email', 'phone']",1,1,"","Praha 1",50.08229,14.41552,"Rental Unit","Entire home/apt",4,1,"1 bath",1,2,2918,1,365,1,7,60,731,1.4,663.6,"t",0,0,0,0,"2025-03-16",1,0,0,1,6,17508,"2010-09-20","2024-06-15",1,70,69,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,"Entire home/apt","Entire/Apt",2918,100,100,4,1,31,1,2,7.97865372908273,16,1.38629436111989,1.92181205567281,3.46573590279973,2,1
"2",3,26755,20250316041547,"city scrape",113902,"Daniel+Bea","2010-04-26","100","98","Staré Město",4,4,"['email', 'phone']",1,1,"Prague, Hlavní město Praha, Czechia","Praha 1",50.08729,14.43179,"Rental Unit","Entire home/apt",4,1.5,"1.5 baths",1,2,1582,3,700,3,4,1125,1125,3.1,1125,"t",3,7,24,173,"2025-03-16",53,3,173,57,255,403410,"2015-05-19","2025-03-07",0,3,3,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,"Entire home/apt","Entire/Apt",1582,100,98,4,1.5,411,3,2,7.3664451483276,16,1.38629436111989,1.92181205567281,6.02102334934953,2,3
"3",4,782440,20250316041547,"city scrape",4102236,"Bonny","2012-11-09","100","80","Žižkov",6,6,"['email', 'phone']",1,1,"","Praha 3",50.08704,14.44539,"Private Room","Private room",2,1,"1 private bath",1,2,860,3,60,1,3,60,60,3,60,"t",5,5,5,5,"2025-03-16",52,5,5,52,255,219300,"2013-01-04","2025-03-02",0,6,3,3,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,"Private room","Private",860,100,80,2,1,414,3,2,6.75693238924755,4,0.693147180559945,0.480453013918201,6.0282785202307,2,3
"4",5,782489,20250316041547,"city scrape",4102236,"Bonny","2012-11-09","100","80","Žižkov",6,6,"['email', 'phone']",1,1,"","Praha 3",50.08525,14.44513,"Private Room","Private room",2,1,"1 private bath",1,3,629,3,60,3,3,60,60,3,60,"t",3,3,3,3,"2025-03-16",47,3,3,48,255,160395,"2013-03-25","2025-03-01",0,6,3,3,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,"Private room","Private",629,100,80,2,1,389,3,3,6.44413125670044,4,0.693147180559945,0.480453013918201,5.96614673912369,2,3
"5",6,782770,20250316041547,"city scrape",4102236,"Bonny","2012-11-09","100","80","Žižkov",6,6,"['email', 'phone']",1,1,"","Praha 3",50.0852,14.44644,"Private Room","Private room",2,1,"1 private bath",1,1,772,3,60,3,3,60,60,3,60,"t",6,6,6,6,"2025-03-16",52,2,6,53,255,196860,"2013-02-06","2025-02-23",0,6,3,3,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,"Private room","Private",772,100,80,2,1,381,3,1,6.64898455002478,4,0.693147180559945,0.480453013918201,5.94542060860658,2,3
"6",7,790196,20250316041547,"city scrape",1240390,"Sarah","2011-10-03","100","100","Staré Město",19,21,"['email', 'phone']",1,1,"Prague 1, Nove Mesto, Czechia","Praha 1",50.0815,14.42123,"Condo","Entire home/apt",4,1.5,"1.5 baths",1,2,2389,1,1125,1,5,1125,1125,1.4,1125,"t",13,25,36,294,"2025-03-16",49,3,220,54,255,609195,"2012-12-13","2025-03-15",1,19,19,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"Entire home/apt","Entire/Apt",2389,100,100,4,1.5,766,1,2,7.77863014732581,16,1.38629436111989,1.92181205567281,6.64248680136726,2,1
"7",8,797201,20250316041547,"city scrape",1556914,"Eugenia","2012-01-02","100","100","",1,8,"['email', 'phone', 'work_email']",1,1,"Prague, Czechia","Praha 1",50.08787,14.42235,"Rental Unit","Entire home/apt",2,1,"1 bath",0,1,1768,2,999,1,2,999,999,2,999,"t",8,16,26,277,"2025-03-16",1,0,203,1,6,10608,"2013-01-04","2024-12-25",1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,"Entire home/apt","Entire/Apt",1768,100,100,2,1,10,2,1,7.47760424319759,4,0.693147180559945,0.480453013918201,2.39789527279837,2,2
"8",9,814677,20250316041547,"city scrape",9345552,"Romana","2013-10-10","100","93","Staré Město",45,46,"['email', 'phone', 'work_email']",1,1,"","Praha 1",50.08588,14.42116,"Rental Unit","Entire home/apt",6,1,"1 bath",2,3,2656,2,1125,2,5,1125,1125,2.5,1125,"t",5,8,16,241,"2025-03-16",3,0,167,8,18,47808,"2014-04-20","2024-07-31",0,44,44,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,"Entire home/apt","Entire/Apt",2656,100,93,6,1,56,2,3,7.88457651059632,36,1.79175946922805,3.2104019955684,4.04305126783455,2,2
"9",10,814687,20250316041547,"city scrape",9345552,"Romana","2013-10-10","100","93","Staré Město",45,46,"['email', 'phone', 'work_email']",1,1,"","Praha 1",50.08588,14.42116,"Rental Unit","Entire home/apt",6,1,"1 bath",2,2,2882,2,1125,2,5,1125,1125,2.3,1125,"t",5,20,29,268,"2025-03-16",2,0,194,2,12,34584,"2015-08-11","2024-12-07",0,44,44,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,"Entire home/apt","Entire/Apt",2882,100,93,6,1,18,2,2,7.96623977655947,36,1.79175946922805,3.2104019955684,2.94443897916644,2,2
"10",11,814691,20250316041547,"city scrape",9345552,"Romana","2013-10-10","100","93","Staré Město",45,46,"['email', 'phone', 'work_email']",1,1,"","Praha 1",50.08588,14.42116,"Rental Unit","Entire home/apt",8,2,"2 baths",3,4,3496,2,1125,1,5,1125,1125,2.5,1125,"t",4,14,20,243,"2025-03-16",17,0,169,17,102,356592,"2013-06-09","2025-01-12",0,44,44,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,0,"Entire home/apt","Entire/Apt",3496,100,93,8,2,169,2,4,8.15937473677543,64,2.07944154167984,4.32407712526381,5.13579843705026,3,2
